Molecule_ID,ext,External_ID,Gene,Name,Source_acc,Regulation_case.control,Validation,Scores
A4538,,TRPV5_HUMAN,ECAC1;TRPV5,Transient receptor potential cation channel;subfamily V;member 5,A_24_P342236,ratio: 0.14,ratio_log2fc: -2.85,,p-value: 0.013999
A453C,,S6A12_HUMAN,SLC6A12,Sodium- and chloride-dependent betaine transporter,A_23_P76386,ratio: 6.87,ratio_log2fc: 2.78,,p-value: 0.013999
A454C,,S6A13_HUMAN,SLC6A13;GAT2,Sodium- and chloride-dependent GABA transporter 2,A_23_P64980,ratio: 21.4,ratio_log2fc: 4.42,,p-value: 0.009176
A454D,,FAM3A_HUMAN,FAM3A;Feb-19;2.19,Protein FAM3A precursor,A_23_P45488,ratio: 3.27,ratio_log2fc: 1.71,,p-value: 0.013999
A454G,X,FHDC1_HUMAN,FHDC1,FH2 domain-containing protein 1,A_23_P328259,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A455C,,S6A14_HUMAN,SLC6A14;ATB0+,Sodium and chloride-dependent neutral and basic amino acid transporter B(0+),A_24_P365721,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A455C,,S6A14_HUMAN,SLC6A14;ATB0+,Sodium and chloride-dependent neutral and basic amino acid transporter B(0+),A_24_P289067,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A455G,,FHL17_HUMAN,FTHL17,Ferritin heavy polypeptide-like 17,A_23_P148410,ratio: 4.65,ratio_log2fc: 2.22,,p-value: 0.013999
A4560,,AFAP1_HUMAN,AFAP1;AFAP,Actin filament associated protein 1,A_23_P72387,ratio: 0.23,ratio_log2fc: -2.14,,p-value: 0.008682
A4568,,AMOT_HUMAN,AMOT,Angiomotin,A_23_P171232,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A4569,,ANLN_HUMAN,ANLN,Actin-binding protein Anillin,A_23_P356684,ratio: 0.13,ratio_log2fc: -2.97,,p-value: 0.013999
A456C,,S6A15_HUMAN,SLC6A15;B0AT2;NTT73,Solute carrier family 6 (neurotransmitter transporter);member 15,A_23_P356598,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A456C,,S6A15_HUMAN,SLC6A15;B0AT2;NTT73,Solute carrier family 6 (neurotransmitter transporter);member 15,A_24_P307653,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A456C,,S6A15_HUMAN,SLC6A15;B0AT2;NTT73,Solute carrier family 6 (neurotransmitter transporter);member 15,A_24_P109838,ratio: 0.17,ratio_log2fc: -2.55,,p-value: 0.01402
A456C,,S6A15_HUMAN,SLC6A15;B0AT2;NTT73,Solute carrier family 6 (neurotransmitter transporter);member 15,A_23_P13725,ratio: 0.17,ratio_log2fc: -2.55,,p-value: 0.014052
A4570,,ANTR1_HUMAN,ANTXR1;ATR;TEM8,Anthrax toxin receptor 1 precursor,A_23_P84576,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A4571,,ANTR2_HUMAN,ANTXR2;CMG2,Anthrax toxin receptor 2,A_24_P345846,ratio: 0.15,ratio_log2fc: -2.72,,p-value: 0.013999
A4578,,ANXA8_HUMAN,ANXA8L1;ANXA8;ANX8,Annexin A8,A_32_P105549,ratio: 13.02,ratio_log2fc: 3.70,,p-value: 0.008335
A457C,X,S6A17_HUMAN,SLC6A17;NTT4,Orphan sodium- and chloride-dependent neurotransmitter transporter NTT4,A_24_P820037,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A4586,,ARVC_HUMAN,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,A_23_P109393,ratio: 4.19,ratio_log2fc: 2.07,,p-value: 0.013196
A4588,,ATL1_HUMAN,ADAMTSL1;ADAMTSR1;UNQ528/PRO1071,ADAMTS-like protein 1 precursor,A_23_P348304,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A4589,X,AVIL_HUMAN,AVIL,Advillin,A_24_P419087,ratio: 3.28,ratio_log2fc: 1.71,,p-value: 0.015204
A458B,,FA73B_HUMAN,FAM73B,Family with sequence similarity 73;member B,A_23_P71864,ratio: 4.25,ratio_log2fc: 2.09,,p-value: 0.008782
A458D,,FAM9C_HUMAN,FAM9C,Family with sequence similarity 9;member C,A_32_P12202,ratio: 0.14,ratio_log2fc: -2.81,,p-value: 0.013999
A458F,,B4GN3_HUMAN,B4GALNT3;B4GalNac-T3,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2,A_32_P49748,ratio: 8.42,ratio_log2fc: 3.07,,p-value: 0.013409
A459C,,S7A14_HUMAN,SLC7A14,Solute carrier family 7 (cationic amino acid transporter;Y+ system);member 14,A_23_P253451,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A459C,,S7A14_HUMAN,SLC7A14,Solute carrier family 7 (cationic amino acid transporter;Y+ system);member 14,A_32_P498287,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A459F,,B4GT2_HUMAN,B4GALT2,"Beta-1,4-galactosyltransferase 2",A_24_P242440,ratio: 6.38,ratio_log2fc: 2.67,,p-value: 0.012049
A459H,,MUSC_HUMAN,MSC;ABF1;BHLHA22,Musculin,A_23_P256948,ratio: 0.15,ratio_log2fc: -2.76,,p-value: 0.013999
A459I,,SLD5_HUMAN,SLD5;GINS4,DNA replication complex GINS protein SLD5,A_23_P136787,ratio: 0.18,ratio_log2fc: -2.45,,p-value: 0.013999
A459I,,SLD5_HUMAN,SLD5;GINS4,DNA replication complex GINS protein SLD5,A_24_P922497,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A460H,X,MYBA_HUMAN,MYBL1;A-myb;AMYB,Myb-related protein A,A_24_P308139,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A4611,,CABYR_HUMAN,CABYR;CBP86;FSP2,Calcium-binding tyrosine phosphorylation-regulated protein,A_23_P314712,ratio: 0.14,ratio_log2fc: -2.88,,p-value: 0.008335
A4618,,CAD17_HUMAN,CDH17,Cadherin-17,A_23_P111947,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A461F,,B4GT7_HUMAN,B4GALT7;XGALT1;UNQ748/PRO1478,"Beta-1,4-galactosyltransferase 7",A_23_P41872,ratio: 5.42,ratio_log2fc: 2.44,,p-value: 0.010209
A461I,X,SLIK2_HUMAN,SLITRK2;SLITL1;UNQ9197/PRO34756,SLIT and NTRK-like protein 2 precursor,A_24_P66605,ratio: 0.18,ratio_log2fc: -2.50,,p-value: 0.014885
A461I,X,SLIK2_HUMAN,SLITRK2;SLITL1;UNQ9197/PRO34756,SLIT and NTRK-like protein 2 precursor,A_23_P217277,ratio: 0.14,ratio_log2fc: -2.84,,p-value: 0.015163
A4620,X,CAD20_HUMAN,CDH20;CDH7L3;PCDHGB4,Cadherin-20 precursor,A_23_P55586,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A4627,,CADM2_HUMAN,CADM2;IGSF4D;NECL3,Cell adhesion molecule 2 precursor,A_32_P129200,ratio: 0.17,ratio_log2fc: -2.55,,p-value: 0.014105
A462I,,SLIK3_HUMAN,SLITRK3,SLIT and NTRK-like protein 3 precursor,A_23_P18362,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A4632,,CAMP3_HUMAN,CAMSAP3;NEZHA,Calmodulin-regulated Spectrin-associated protein 3,A_23_P394043,ratio: 3.68,ratio_log2fc: 1.88,,p-value: 0.013999
A463C,,SBP1_HUMAN,SELENBP1;SBP,Selenium-binding protein 1,A_23_P74619,ratio: 10.31,ratio_log2fc: 3.37,,p-value: 0.006399
A463D,,FGFP2_HUMAN,FGFBP2;KSP37;UNQ425/PRO1065,Fibroblast growth factor-binding protein 2 precursor,A_23_P41528,ratio: 0.27,ratio_log2fc: -1.91,,p-value: 0.014052
A4643,,CD22_HUMAN,CD22;SIGLEC2,B-cell receptor CD22 precursor,A_24_P254106,ratio: 0.14,ratio_log2fc: -2.82,,p-value: 0.013999
A4647,,CD99_HUMAN,CD99;MIC2;MIC2X,T-cell surface glycoprotein E2 precursor,A_24_P70993,ratio: 4.22,ratio_log2fc: 2.08,,p-value: 0.013999
A4648,,CDCP1_HUMAN,CDCP1;TRASK;UNQ2486/PRO5773,CUB domain containing protein 1 precursor,A_24_P160401,ratio: 0.16,ratio_log2fc: -2.66,,p-value: 0.013999
A4649,,CDHR2_HUMAN,CDHR2;PCDH24;PCLKC,Protocadherin-24,A_23_P133338,ratio: 10.48,ratio_log2fc: 3.39,,p-value: 0.013999
A464D,,FHAD1_HUMAN,FHAD1,Forkhead-associated domain-containing protein 1,A_24_P391840,ratio: 0.11,ratio_log2fc: -3.20,,p-value: 0.013999
A464E,,UBX10_HUMAN,UBXN10;UBXD3,UBX domain-containing protein 10,A_32_P205053,ratio: 0.32,ratio_log2fc: -1.66,,p-value: 0.014572
A4652,,CDON_HUMAN,CDON;CDO,Cell adhesion molecule-related/down-regulated by oncogenes,A_23_P98335,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.013999
A4656,X,CE120_HUMAN,CEP120;CCDC100,Centrosomal protein of 120 kDa,A_24_P137602,ratio: 0.3,ratio_log2fc: -1.71,,p-value: 0.013999
A4657,,CE152_HUMAN,CEP152,Centrosomal protein of 152 kDa,A_32_P14978,ratio: 0.18,ratio_log2fc: -2.51,,p-value: 0.014737
A465D,,FIGN_HUMAN,FIGN,Fidgetin,A_32_P397824,ratio: 0.16,ratio_log2fc: -2.67,,p-value: 0.013999
A465E,,UBX2A_HUMAN,UBXN2A;UBXD4,UBX domain-containing protein 2A,A_23_P131240,ratio: 0.29,ratio_log2fc: -1.80,,p-value: 0.013999
A465F,,BACH2_HUMAN,BACH2,Transcription regulator protein BACH2,A_23_P30634,ratio: 0.27,ratio_log2fc: -1.86,,p-value: 0.015293
A4665,,CEAM5_HUMAN,CEACAM5;CEA,Carcinoembryonic antigen-related cell adhesion molecule 5,A_23_P153301,ratio: 0.15,ratio_log2fc: -2.70,,p-value: 0.013999
A4666,,CEAM6_HUMAN,CEA;CEACAM6;NCA,Carcinoembryonic antigen-related cell adhesion molecule 6 precursor,A_23_P218442,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A4668,X,CENPJ_HUMAN,CENPJ;CPAP;LAP,Centromere protein J,A_24_P298996,ratio: 0.18,ratio_log2fc: -2.51,,p-value: 0.013999
A4669,,CEP19_HUMAN,CEP19;HSD5,Uncharacterized protein C3ORF34,A_32_P212058,ratio: 0.35,ratio_log2fc: -1.53,,p-value: 0.01511
A466B,,G137C_HUMAN,GPR137C;TM7SF1L2,G protein-coupled receptor TM7SF1L2,A_23_P140316,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A466F,,BAFL_HUMAN,BANF2;BAFL,Barrier-to-autointegration factor-like protein,A_32_P234926,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A4670,,CEP57_HUMAN,CEP57;TSP57,Translokin,A_24_P145124,ratio: 0.24,ratio_log2fc: -2.03,,p-value: 0.013999
A4676,,CE85L_HUMAN,CEP85L;NY-BR-15,Coiled-coil domain-containing protein C6ORF204,A_24_P136387,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A4679,,CHL1_HUMAN,CHL1;CALL,Neural cell adhesion molecule L1-like protein,A_24_P63178,ratio: 0.27,ratio_log2fc: -1.89,,p-value: 0.013999
A467B,,GBP7_HUMAN,GBP7;GBP4L;GBP2,Guanylate-binding protein 7,A_24_P280664,ratio: 0.12,ratio_log2fc: -3.03,,p-value: 0.01117
A467E,,UBXN6_HUMAN,UBXN6;UBXD1;UBXDC2,UBX domain-containing protein 1,A_23_P386905,ratio: 10.74,ratio_log2fc: 3.42,,p-value: 0.013999
A4681,,CKP2L_HUMAN,CKAP2L,Cytoskeleton-associated protein 2-like,A_23_P388812,ratio: 0.15,ratio_log2fc: -2.70,,p-value: 0.013999
A4686,X,CNN2_HUMAN,CNN2,Calponin 2,A_23_P16673,ratio: 3.56,ratio_log2fc: 1.83,,p-value: 0.013999
A468F,,BAIP3_HUMAN,BAIAP3;BAP3,BAI associated protein 3,A_23_P163492,ratio: 5.99,ratio_log2fc: 2.58,,p-value: 0.013999
A4694,,CNTP4_HUMAN,CNTNAP4;CASPR4,Contactin-associated protein-like 4,A_23_P61255,ratio: 0.15,ratio_log2fc: -2.72,,p-value: 0.013999
A4699,,CO6A6_HUMAN,COL6A6;GDAP1,Collagen alpha-6(VI) chain,A_32_P224525,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A469D,,FNDC7_HUMAN,FNDC7,Fibronectin type III domain-containing protein 7,A_24_P268323,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A469F,,BAP1_HUMAN,BAP1;hucep-6;HUCEP-6,Ubiquitin carboxyl-terminal hydrolase BAP1,A_23_P259012,ratio: 9.42,ratio_log2fc: 3.24,,p-value: 0.003182
A469F,,BAP1_HUMAN,BAP1;hucep-6;HUCEP-6,Ubiquitin carboxyl-terminal hydrolase BAP1,A_24_P302898,ratio: 7.19,ratio_log2fc: 2.85,,p-value: 0.005591
A469H,,MYO3B_HUMAN,MYO3B,Myosin IIIB,A_24_P182696,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A4701,,CO8A2_HUMAN,COL8A2,Collagen alpha 2(VIII) chain precursor,A_24_P365975,ratio: 0.19,ratio_log2fc: -2.38,,p-value: 0.013999
A4705,,COBA1_HUMAN,COL11A1;COLL6;CO11A1,Collagen alpha 1(XI) chain precursor,A_23_P11806,ratio: 0.16,ratio_log2fc: -2.66,,p-value: 0.014052
A4708,,CODA1_HUMAN,COL13A1;COLXIIIA1;COL4A2,Collagen alpha-1(XIII) chain,A_24_P90005,ratio: 0.27,ratio_log2fc: -1.88,,p-value: 0.013999
A4708,,CODA1_HUMAN,COL13A1;COLXIIIA1;COL4A2,Collagen alpha-1(XIII) chain,A_23_P1331,ratio: 0.33,ratio_log2fc: -1.59,,p-value: 0.014105
A470J,,TA2R1_HUMAN,TAS2R1;Hosa(Japanese)-T2R1;Hosa(Biaka)-T2R1,Taste receptor type 2 member 1,A_23_P402123,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A4715,,COKA1_HUMAN,COL20A1,Collagen alpha-1(XX) chain,A_24_P918575,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A4722,,COPA1_HUMAN,COL25A1,Collagen alpha-1(XXV) chain,A_32_P405010,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A472C,,SC24C_HUMAN,SEC24C,Protein transport protein Sec24C,A_24_P255338,ratio: 5.67,ratio_log2fc: 2.50,,p-value: 0.014583
A472D,,FSD2_HUMAN,FSD2;SPRYD1,Fibronectin type III and SPRY domain-containing protein 2,A_23_P65901,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A4738,,CTHR1_HUMAN,CTHRC1;UNQ762/PRO1550;UNQ762,Collagen triple helix repeat-containing protein 1,A_23_P111888,ratio: 0.09,ratio_log2fc: -3.54,,p-value: 0.00878
A473D,,FSIP2_HUMAN,FSIP2,Fibrous sheath-interacting protein 2,A_32_P835566,ratio: 0.11,ratio_log2fc: -3.19,,p-value: 0.013999
A4740,,CXAR_HUMAN,CXADR;CAR;HCAR2,Coxsackievirus and adenovirus receptor precursor,A_24_P374943,ratio: 0.2,ratio_log2fc: -2.29,,p-value: 0.013999
A4740,,CXAR_HUMAN,CXADR;CAR;HCAR2,Coxsackievirus and adenovirus receptor precursor,A_23_P57268,ratio: 0.31,ratio_log2fc: -1.68,,p-value: 0.013999
A4745,X,DBNL_HUMAN,DBNL;CMAP;SH3P7,Cervical SH3P7,A_24_P43681,ratio: 6.01,ratio_log2fc: 2.59,,p-value: 0.00525
A474B,,GPNMB_HUMAN,GPNMB;HGFIN;NMB,Transmembrane glycoprotein NMB precursor,A_24_P933908,ratio: 0.11,ratio_log2fc: -3.21,,p-value: 0.012206
A474I,,SMG9_HUMAN,SMG9;F17127_1,,A_23_P56127,ratio: 4.77,ratio_log2fc: 2.25,,p-value: 0.013999
A4751,,DSC2_HUMAN,DSC2;CDHF2;DSC3,Desmocollin 2A/2B precursor,A_23_P4494,ratio: 0.19,ratio_log2fc: -2.43,,p-value: 0.01462
A4752,,DSC3_HUMAN,DSC3;CDHF3;DSC4,Desmocollin 3 precursor,A_23_P208029,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A4759,,DYH1_HUMAN,DNAH1;DHC7;DNAHC1,Dynein heavy chain 1;axonemal,A_23_P18213,ratio: 6.38,ratio_log2fc: 2.67,,p-value: 0.013973
A475A,,H1T_HUMAN,HIST1H1T;H1FT;H1T,Histone H1T,A_23_P133842,ratio: 0.16,ratio_log2fc: -2.67,,p-value: 0.013999
A475C,,SC5A2_HUMAN,SLC5A2;SGLT2,Solute carrier family 5 (sodium/glucose cotransporter);member 2,A_23_P411277,ratio: 4.92,ratio_log2fc: 2.30,,p-value: 0.014008
A4761,X,DYH11_HUMAN,DNAH11;Dnahc11,Dynein heavy chain 11;axonemal,A_23_P93866,ratio: 0.17,ratio_log2fc: -2.54,,p-value: 0.01425
A4763,,DYH14_HUMAN,DNAH14;Dnahc14;DNAHC14,Dynein heavy chain,A_24_P917290,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A4764,X,DYH17_HUMAN,DNAH17;DNAHL1;DNEL2,Dynein heavy chain 17;axonemal,A_32_P439662,ratio: 0.16,ratio_log2fc: -2.68,,p-value: 0.013999
A4766,,DYH3_HUMAN,DNAH3;DNAHC3B,Dynein heavy chain 3;axonemal,A_23_P329340,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A4767,X,DYH5_HUMAN,DNAH5;DNAHC5;HL1,Ciliary dynein heavy chain 5,A_24_P388786,ratio: 0.14,ratio_log2fc: -2.88,,p-value: 0.004547
A4767,X,DYH5_HUMAN,DNAH5;DNAHC5;HL1,Ciliary dynein heavy chain 5,A_23_P93058,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A4767,X,DYH5_HUMAN,DNAH5;DNAHC5;HL1,Ciliary dynein heavy chain 5,A_24_P333461,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A4767,X,DYH5_HUMAN,DNAH5;DNAHC5;HL1,Ciliary dynein heavy chain 5,A_24_P120462,ratio: 0.17,ratio_log2fc: -2.56,,p-value: 0.014018
A4768,,DYH6_HUMAN,DNAH6;DNAHC6;DNHL1,Dynein heavy chain 6;axonemal,A_23_P324605,ratio: 0.14,ratio_log2fc: -2.89,,p-value: 0.008512
A4768,,DYH6_HUMAN,DNAH6;DNAHC6;DNHL1,Dynein heavy chain 6;axonemal,A_32_P383681,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A476A,,H1X_HUMAN,H1FX,Histone H1x,A_23_P96087,ratio: 7.29,ratio_log2fc: 2.87,,p-value: 0.006399
A4770,X,DYH8_HUMAN,DNAH8,Dynein;axonemal;heavy polypeptide 8,A_24_P926631,ratio: 0.16,ratio_log2fc: -2.68,,p-value: 0.013999
A4770,X,DYH8_HUMAN,DNAH8,Dynein;axonemal;heavy polypeptide 8,A_24_P247738,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A4770,X,DYH8_HUMAN,DNAH8,Dynein;axonemal;heavy polypeptide 8,A_23_P145159,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A4776,,EDIL3_HUMAN,EDIL3;DEL1,Integrin-binding protein DEL1 precursor,A_23_P401606,ratio: 0.23,ratio_log2fc: -2.13,,p-value: 0.013999
A4777,,EGLN_HUMAN,END;ENG,Endoglin precursor,A_23_P83328,ratio: 5.56,ratio_log2fc: 2.47,,p-value: 0.013999
A477A,,H2A1_HUMAN,HIST1H2AG;H2AFP;HIST1H2AI,Histone H2A type 1,A_24_P414658,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A4783,,EMD_HUMAN,EMD;EDMD;STA,Emerin,A_23_P85171,ratio: 3.06,ratio_log2fc: 1.61,,p-value: 0.013999
A4786,,ENAM_HUMAN,ENAM,Enamelin precursor,A_23_P393172,ratio: 0.18,ratio_log2fc: -2.49,,p-value: 0.013999
A478C,,SC5A9_HUMAN,SLC5A9;SGLT4;SGLT1,Similar to Sodium/glucose cotransporter 1,A_24_P242581,ratio: 5.66,ratio_log2fc: 2.50,,p-value: 0.013999
A478I,,SMIM9_HUMAN,SMIM9,Hypothetical protein XP_088726,A_24_P558750,ratio: 0.13,ratio_log2fc: -2.97,,p-value: 0.013999
A4792,,EPIPL_HUMAN,EPPK1;EPIPL,Epiplakin 1,A_24_P843068,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A4794,,ESPN_HUMAN,ESPN;DFNB36;LP2654,Espin,A_23_P12405,ratio: 6.28,ratio_log2fc: 2.65,,p-value: 0.013999
A479D,,XAGE1_HUMAN,XAGE1A;XAGE1B;XAGE1C,G antigen family D member 2,A_24_P271696,ratio: 0.17,ratio_log2fc: -2.56,,p-value: 0.014008
A4801,,FAT3_HUMAN,FAT3;CDHF15,Protocadherin FAT 3,A_32_P206415,ratio: 0.08,ratio_log2fc: -3.69,,p-value: 0.013999
A480D,,GAPR1_HUMAN,GLIPR2;GAPR1,Golgi-associated plant pathogenesis-related protein 1,A_23_P414913,ratio: 0.22,ratio_log2fc: -2.19,,p-value: 0.013999
A480E,,WBP2_HUMAN,WBP2,WW domain binding protein 2,A_23_P15299,ratio: 3.77,ratio_log2fc: 1.91,,p-value: 0.012532
A480H,,NADE_HUMAN,NADSYN1,Glutamine-dependent NAD+ synthetase,A_23_P35848,ratio: 5.6,ratio_log2fc: 2.49,,p-value: 0.013999
A4812,,FHOD1_HUMAN,FHOD1;FHOS;FHOS1,FH1/FH2 domain-containing protein 1,A_23_P37778,ratio: 3.87,ratio_log2fc: 1.95,,p-value: 0.014052
A4814,X,FLNB_HUMAN,FLNB;FLN3;TAP,Filamin-B,A_23_P211878,ratio: 4.47,ratio_log2fc: 2.16,,p-value: 0.013999
A4825,X,FRM4A_HUMAN,FRMD4A;FRMD4,FERM domain containing 4A,A_32_P709988,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.014551
A482I,,SMUF2_HUMAN,SMURF2,Smad ubiquitination regulatory factor 2,A_23_P100754,ratio: 0.27,ratio_log2fc: -1.91,,p-value: 0.013999
A483E,,WDR20_HUMAN,WDR20,WD repeat-containing protein 20,A_24_P162412,ratio: 0.26,ratio_log2fc: -1.93,,p-value: 0.013999
A483E,,WDR20_HUMAN,WDR20,WD repeat-containing protein 20,A_23_P205255,ratio: 0.25,ratio_log2fc: -2.00,,p-value: 0.013999
A483G,,FOXD1_HUMAN,FOXD1;FKHL8;FREAC4,Forkhead box protein D1,A_32_P34920,ratio: 0.28,ratio_log2fc: -1.82,,p-value: 0.013999
A4847,X,GPV_HUMAN,GP5,Platelet glycoprotein V precursor,A_24_P944964,ratio: 0.17,ratio_log2fc: -2.53,,p-value: 0.014062
A4849,,GRCR1_HUMAN,GRXCR1;DFNB25,Glutaredoxin domain-containing cysteine-rich protein 1,A_24_P495367,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A4850,,GTSE1_HUMAN,GTSE1,G2 and S phase-expressed protein 1,A_23_P57588,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.012714
A4852,,HIS1_HUMAN,HTN1;HIS1,Histatin 1 precursor,A_24_P354429,ratio: 0.18,ratio_log2fc: -2.49,,p-value: 0.013999
A485A,,H2A2A_HUMAN,HIST2H2AA3;H2AFO;HIST2H2AA,Histone H2A.o,A_23_P309381,ratio: 8.91,ratio_log2fc: 3.16,,p-value: 0.00598
A485F,,BEAN1_HUMAN,BEAN1;BEAN,NEDD4-binding brain specific protein BEAN,A_32_P153195,ratio: 0.08,ratio_log2fc: -3.66,,p-value: 0.008798
A486C,,SC6A8_HUMAN,SLC6A8,Sodium- and chloride-dependent creatine transporter 1,A_24_P15621,ratio: 9.43,ratio_log2fc: 3.24,,p-value: 0.006275
A486C,,SC6A8_HUMAN,SLC6A8,Sodium- and chloride-dependent creatine transporter 1,A_24_P23400,ratio: 3.38,ratio_log2fc: 1.76,,p-value: 0.013999
A486C,,SC6A8_HUMAN,SLC6A8,Sodium- and chloride-dependent creatine transporter 1,A_23_P159937,ratio: 9.37,ratio_log2fc: 3.23,,p-value: 0.013999
A486E,,WDR46_HUMAN,WDR46;BING4;FP221,WD repeat-containing protein 46,A_24_P389038,ratio: 3.99,ratio_log2fc: 2.00,,p-value: 0.013999
A4874,X,K1C26_HUMAN,KRT26;KRT25B;KRT25A,Keratin;type I cytoskeletal 26,A_23_P27186,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A4876,,K2C1B_HUMAN,KRT77;KRT1B,Keratin 77,A_24_P666035,ratio: 0.16,ratio_log2fc: -2.69,,p-value: 0.013999
A4877,X,K2C6A_HUMAN,KRT6A;K6A;KRT6D,Keratin;type II cytoskeletal 6A,A_23_P87653,ratio: 0.16,ratio_log2fc: -2.69,,p-value: 0.013999
A487B,,ITM2C_HUMAN,ITM2C;BRI3;hucep-14,Integral membrane protein 2C,A_24_P379820,ratio: 6.48,ratio_log2fc: 2.70,,p-value: 0.006766
A487B,,ITM2C_HUMAN,ITM2C;BRI3;hucep-14,Integral membrane protein 2C,A_24_P402690,ratio: 0.26,ratio_log2fc: -1.97,,p-value: 0.013999
A4886,,KIF4A_HUMAN,KIF4A;KIF4,Chromosome-associated kinesin KIF4A,A_23_P148475,ratio: 0.17,ratio_log2fc: -2.55,,p-value: 0.014052
A488D,,GG6L1_HUMAN,GOLGA6L1,Golgin subfamily A member 6-like protein 1,A_32_P715159,ratio: 0.17,ratio_log2fc: -2.54,,p-value: 0.014018
A488E,,WDR49_HUMAN,WDR49,WD repeat-containing protein 49,A_23_P356163,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A488F,,BEND6_HUMAN,BEND6,BEN domain-containing protein 6,A_23_P310086,ratio: 0.17,ratio_log2fc: -2.56,,p-value: 0.013999
A489F,,BEST3_HUMAN,BEST3;VMD2L3,Bestrophin-3,A_23_P323801,ratio: 0.12,ratio_log2fc: -3.04,,p-value: 0.013999
A489F,,BEST3_HUMAN,BEST3;VMD2L3,Bestrophin-3,A_23_P150955,ratio: 0.14,ratio_log2fc: -2.85,,p-value: 0.013999
A489H,,NANO3_HUMAN,NANOS3;NOS3,NANOS homolog 3 protein,A_24_P703830,ratio: 0.25,ratio_log2fc: -2.02,,p-value: 0.011913
A490F,,BET1L_HUMAN,BET1L;GS15,Blocked early in transport 1 homolog,A_24_P386639,ratio: 5.12,ratio_log2fc: 2.35,,p-value: 0.010365
A490G,,FOXG1_HUMAN,FOXG1;FKH2;FKHL1,Forkhead box protein G1C,A_23_P205428,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A4913,,KRA13_HUMAN,KRTAP1-3;B2B;KAP1.2,Keratin associated protein 1.8,A_23_P130241,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A491C,,SCNNA_HUMAN,SCNN1A;SCNN1,Amiloride-sensitive sodium channel alpha-subunit,A_23_P128323,ratio: 4.86,ratio_log2fc: 2.28,,p-value: 0.013999
A491H,X,NANP_HUMAN,NANP;HDHD4,N-acylneuraminate-9-phosphatase,A_24_P348428,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
