Gene_Name	CKDdb_num_of_studies	CKDdb_Disease
CDK16	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic kidney disease)
PCTAIRE1	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic kidney disease)
PCYT1B	4	AKI, Chronic_Renal_Insufficiency (AKI, CKD)
PDE4A	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic nephropathy, diabetic kidney disease)
PDE4	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic nephropathy, diabetic kidney disease)
DPDE2	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic nephropathy, diabetic kidney disease)
PDGFA	4	Dialysis, AKI, cisplatin_induced (hemodialysis, AKI, cisplatin-induced nephrotoxicity)
PDGF1	4	Dialysis, AKI, cisplatin_induced (hemodialysis, AKI, cisplatin-induced nephrotoxicity)
PDGFRB	4	Diabetes, Transplantation (diabetic nephropathy, diabetic kidney disease, type 2 diabetic nephropathy, acute renal allograft rejection)
PDGFR	4	Diabetes, Transplantation (diabetic nephropathy, diabetic kidney disease, type 2 diabetic nephropathy, acute renal allograft rejection)
PDS5B	4	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic retinopathy, CKD)
APRIN	4	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic retinopathy, CKD)
AS3	4	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic retinopathy, CKD)
PEAK1	4	Dialysis, Diabetes, Puromycin_induced, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, Puromycin nephropathy model, CKD)
SGK269	4	Dialysis, Diabetes, Puromycin_induced, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, Puromycin nephropathy model, CKD)
PECR	4	AKI, Nephrosclerosis, Diabetes (AKI, glomerulosclerosis, diabetic nephropathy)
PEX19	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes, Glomerulonephritis (Chronic kidney disease, hemodialysis, diabetic kidney disease, FSGS + COLL)
HK33	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes, Glomerulonephritis (Chronic kidney disease, hemodialysis, diabetic kidney disease, FSGS + COLL)
PXF	4	Chronic_Renal_Insufficiency, Dialysis, Diabetes, Glomerulonephritis (Chronic kidney disease, hemodialysis, diabetic kidney disease, FSGS + COLL)
PEX5L	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, diabetic retinopathy, CKD)
PEX2	5	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, diabetic retinopathy, CKD)|Dialysis (hemodialysis)
PEX5R	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, diabetic retinopathy, CKD)
PFKFB2	4	Dialysis, Chronic_Renal_Insufficiency, Nephrosclerosis, AKI (hemodialysis, Chronic kidney disease, glomerulosclerosis, AKI)
PFKFB3	4	AKI, Chronic_Renal_Insufficiency (AKI, CKD)
PGLYRP4	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
PGRPIB	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
SBBI67	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
PGM1	6	AKI, Gentamicin_induced, ureteral_obstruction (AKI, Gentamicin-induced nephropathy, obstructive uropathy)|AKI, Chronic_Renal_Insufficiency (AKI, CKD)
PGM2	6	AKI, Gentamicin_induced, ureteral_obstruction (AKI, Gentamicin-induced nephropathy, obstructive uropathy)|AKI, Chronic_Renal_Insufficiency (AKI, CKD)
PGM3	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
AGM1	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
PGRMC1	4	Chronic_Renal_Insufficiency, Diabetes, AKI (Chronic kidney disease, diabetic nephropathy, AKI)
HPR6.6	4	Chronic_Renal_Insufficiency, Diabetes, AKI (Chronic kidney disease, diabetic nephropathy, AKI)
PGRMC	4	Chronic_Renal_Insufficiency, Diabetes, AKI (Chronic kidney disease, diabetic nephropathy, AKI)
PHAX	4	Chronic_Renal_Insufficiency (CKD)
RNUXA	4	Chronic_Renal_Insufficiency (CKD)
PHF17	4	Dialysis, Diabetes, AKI, Glomerulonephritis (hemodialysis, diabetic kidney disease, AKI, IgA nephropathy)
JADE1	4	Dialysis, Diabetes, AKI, Glomerulonephritis (hemodialysis, diabetic kidney disease, AKI, IgA nephropathy)
JADE-1	4	Dialysis, Diabetes, AKI, Glomerulonephritis (hemodialysis, diabetic kidney disease, AKI, IgA nephropathy)
PHF20	4	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, CKD)
GLEA2	4	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, CKD)
HCA58	4	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, CKD)
PHIP	4	remnant_kidney_model, Diabetes, AKI, Chronic_Renal_Insufficiency (remnant kidney model, diabetic kidney disease, AKI, CKD)
PHTF1	4	Dialysis, Diabetes, AKI, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, AKI, CKD)
PHTF	4	Dialysis, Diabetes, AKI, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, AKI, CKD)
PHYH	4	Dialysis, Polycystic_Kidney_Disease, Nephrosclerosis (hemodialysis, Autosomal Dominant Polycystic kidney disease, glomerulosclerosis)
PAHX	4	Dialysis, Polycystic_Kidney_Disease, Nephrosclerosis (hemodialysis, Autosomal Dominant Polycystic kidney disease, glomerulosclerosis)
PIEZO1	4	Polycystic_Kidney_Disease, Diabetes, Glomerulonephritis (Autosomal Dominant Polycystic kidney disease, diabetic kidney disease, FSGS + COLL, IgA nephropathy)
FAM38A	4	Polycystic_Kidney_Disease, Diabetes, Glomerulonephritis (Autosomal Dominant Polycystic kidney disease, diabetic kidney disease, FSGS + COLL, IgA nephropathy)
PIK3CG	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
PI3CG	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
PIN4	4	Dialysis, Diabetes (hemodialysis, diabetic kidney disease)
PAR14	4	Dialysis, Diabetes (hemodialysis, diabetic kidney disease)
PIWIL2	4	Dialysis, Diabetes (hemodialysis, diabetic nephropathy)
HILI	4	Dialysis, Diabetes (hemodialysis, diabetic nephropathy)
PKD1L2	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, CKD)
PC1L2	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, CKD)
PKD2	7	Dialysis, Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, glomerulosclerosis, CKD)|Polycystic_Kidney_Disease, ureteral_obstruction (Autosomal dominant polycystic kidney disease, kidney obstruction in vitro model)|Dialysis (hemodialysis)
PRKD2	4	Dialysis, Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, glomerulosclerosis, CKD)
HSPC187	4	Dialysis, Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, glomerulosclerosis, CKD)
PKDCC	4	ureteral_obstruction, AKI, Chronic_Renal_Insufficiency (renal tubulointerstitial injury, AKI, CKD)
SGK493	4	ureteral_obstruction, AKI, Chronic_Renal_Insufficiency (renal tubulointerstitial injury, AKI, CKD)
VLK	4	ureteral_obstruction, AKI, Chronic_Renal_Insufficiency (renal tubulointerstitial injury, AKI, CKD)
PKN2	4	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
PRK2	4	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
PRKCL2	4	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
PKNOX1	4	Dialysis, Chronic_Renal_Insufficiency, Diabetes (hemodialysis, Chronic kidney disease, diabetic kidney disease)
PREP1	4	Dialysis, Chronic_Renal_Insufficiency, Diabetes (hemodialysis, Chronic kidney disease, diabetic kidney disease)
PKNOX2	4	Dialysis (hemodialysis)
PREP2	4	Dialysis (hemodialysis)
PKP1	4	Dialysis, Diabetes (hemodialysis, diabetic kidney disease, diabetic nephropathy)
PLA1A	4	Diabetes, Polycystic_Kidney_Disease, Nephrosclerosis, Chronic_Renal_Insufficiency (diabetic nephropathy, polycystic kidney disease, glomerulosclerosis, CKD)
NMD	4	Diabetes, Polycystic_Kidney_Disease, Nephrosclerosis, Chronic_Renal_Insufficiency (diabetic nephropathy, polycystic kidney disease, glomerulosclerosis, CKD)
PSPLA1	4	Diabetes, Polycystic_Kidney_Disease, Nephrosclerosis, Chronic_Renal_Insufficiency (diabetic nephropathy, polycystic kidney disease, glomerulosclerosis, CKD)
PLAGL2	4	Glomerulonephritis, Diabetes, Chronic_Renal_Insufficiency (lupus nephritis, diabetic kidney disease, CKD)
PLCH2	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
PLCL4	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
PLEKHF1	4	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, CKD)
APPD	4	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, CKD)
LAPF	4	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, CKD)
PLEKHG3	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
PLK4	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, CKD)
PLSCR2	4	Chronic_Renal_Insufficiency, AKI (Chronic kidney disease, AKI, CKD)
PLXND1	4	Dialysis, Nephrosclerosis, Chronic_Renal_Insufficiency (hemodialysis, glomerulosclerosis, CKD)
PNN	4	Dialysis, Diabetes, Vasopressine_induced, Puromycin_induced (hemodialysis, diabetic kidney disease, Vasopressine in vitro model, Puromycin nephropathy model)
DRS	7	Dialysis, Diabetes, Vasopressine_induced, Puromycin_induced (hemodialysis, diabetic kidney disease, Vasopressine in vitro model, Puromycin nephropathy model)|cisplatin_induced, Diabetes, Nephrosclerosis (cisplatin-induced nephrotoxicity, diabetic kidney disease, glomerulosclerosis)
MEMA	4	Dialysis, Diabetes, Vasopressine_induced, Puromycin_induced (hemodialysis, diabetic kidney disease, Vasopressine in vitro model, Puromycin nephropathy model)
PNO1	4	AKI, Diabetes, Chronic_Renal_Insufficiency (AKI, diabetic kidney disease, CKD)
PNPLA8	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, CKD)
IPLA2GAMMA	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, CKD)
IPLA22	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, CKD)
POF1B	4	AKI, Chronic_Renal_Insufficiency (AKI, CKD)
POGLUT1	4	Diabetes, ureteral_obstruction (diabetic kidney disease, diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model)
CLP46	4	Diabetes, ureteral_obstruction (diabetic kidney disease, diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model)
KTELC1	4	Diabetes, ureteral_obstruction (diabetic kidney disease, diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model)
POL	4	AKI (AKI)
POLR2C	4	Diabetes, AKI (diabetic kidney disease, AKI, diabetic nephropathy, diabetic nephropathy treated with Phlorizin)
A-152E5.7	4	Diabetes, AKI (diabetic kidney disease, AKI, diabetic nephropathy, diabetic nephropathy treated with Phlorizin)
POLR2K	4	Chronic_Renal_Insufficiency, Dialysis, ureteral_obstruction (Chronic kidney disease, hemodialysis, renal tubulointerstitial injury)
POM121	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
NUP121	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
POM121A	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
PON3	4	Dialysis, AKI, remnant_kidney_model, Diabetes (hemodialysis, AKI, remnant kidney model, diabetic kidney disease)
PPA2	4	Dialysis, Puromycin_induced, AKI, Fibrosis (hemodialysis, Puromycin nephropathy model, AKI, Interstitial fibrosis and tubular atrophy)
HSPC124	4	Dialysis, Puromycin_induced, AKI, Fibrosis (hemodialysis, Puromycin nephropathy model, AKI, Interstitial fibrosis and tubular atrophy)
SID6-306	4	Dialysis, Puromycin_induced, AKI, Fibrosis (hemodialysis, Puromycin nephropathy model, AKI, Interstitial fibrosis and tubular atrophy)
PPEF2	4	Diabetes, Chronic_Renal_Insufficiency (diabetic nephropathy, CKD)
PPFIA1	4	Dialysis, remnant_kidney_model, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, remnant kidney model, Diabetic Nephropathy, CKD)
LIP1	4	Dialysis, remnant_kidney_model, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, remnant kidney model, Diabetic Nephropathy, CKD)
PPFIBP1	4	Dialysis, Diabetes, AKI (hemodialysis, diabetic kidney disease, AKI)
L2	4	Dialysis, Diabetes, AKI (hemodialysis, diabetic kidney disease, AKI)
HSGT2	4	Dialysis, Diabetes, AKI (hemodialysis, diabetic kidney disease, AKI)
PPIP5K2	4	Dialysis, AKI, Diabetes (hemodialysis, AKI, Diabetic Nephropathy)
HISPPD1	4	Dialysis, AKI, Diabetes (hemodialysis, AKI, Diabetic Nephropathy)
VIP2	4	Dialysis, AKI, Diabetes (hemodialysis, AKI, Diabetic Nephropathy)
PPM1E	5	Dialysis, AKI, Chronic_Renal_Insufficiency, Fibrosis (hemodialysis, AKI, Chronic kidney disease, Interstitial fibrosis and tubular atrophy)|AKI (AKI)
CAMKN	4	Dialysis, AKI, Chronic_Renal_Insufficiency, Fibrosis (hemodialysis, AKI, Chronic kidney disease, Interstitial fibrosis and tubular atrophy)
POPX1	4	Dialysis, AKI, Chronic_Renal_Insufficiency, Fibrosis (hemodialysis, AKI, Chronic kidney disease, Interstitial fibrosis and tubular atrophy)
PPM1K	4	AKI, Diabetes, Chronic_Renal_Insufficiency (AKI, diabetic nephropathy, CKD)
PP2CM	4	AKI, Diabetes, Chronic_Renal_Insufficiency (AKI, diabetic nephropathy, CKD)
PPME1	4	Dialysis, Diabetes (hemodialysis, diabetic nephropathy, diabetic retinopathy)
PME1	4	Dialysis, Diabetes (hemodialysis, diabetic nephropathy, diabetic retinopathy)
PP2593	4	Dialysis, Diabetes (hemodialysis, diabetic nephropathy, diabetic retinopathy)
PPP1A	4	cisplatin_induced, AKI, Chronic_Renal_Insufficiency (cisplatin-induced nephrotoxicity, AKI, CKD)
PPP1CA	4	cisplatin_induced, AKI, Chronic_Renal_Insufficiency (cisplatin-induced nephrotoxicity, AKI, CKD)
PPP1R1B	4	Polycystic_Kidney_Disease, Diabetes (Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, diabetic retinopathy)
PPP1R2	4	Dialysis, IAKI, Glomerulonephritis (hemodialysis, Ischemic acute kidney injury, IgA nephropathy)
IPP2	4	Dialysis, IAKI, Glomerulonephritis (hemodialysis, Ischemic acute kidney injury, IgA nephropathy)
PPP1R3C	4	IAKI, Diabetes, Chronic_Renal_Insufficiency (Ischemic acute kidney injury, diabetic kidney disease, CKD)
PPP1R5	4	IAKI, Diabetes, Chronic_Renal_Insufficiency (Ischemic acute kidney injury, diabetic kidney disease, CKD)
PPP2R2A	4	Polycystic_Kidney_Disease, Glomerulonephritis, ureteral_obstruction (Autosomal Dominant Polycystic kidney disease, IgA nephropathy, obstructive uropathy)
PPP2R3A	4	Dialysis, Nephrosclerosis, Chronic_Renal_Insufficiency (hemodialysis, glomerulosclerosis, CKD)
PPP2R3	4	Dialysis, Nephrosclerosis, Chronic_Renal_Insufficiency (hemodialysis, glomerulosclerosis, CKD)
PPP2R5C	4	Dialysis, Diabetes, Glomerulonephritis, AKI (hemodialysis, diabetic kidney disease, FSGS + COLL, AKI)
PPP2R5E	4	remnant_kidney_model, Nephrosclerosis, Diabetes, Chronic_Renal_Insufficiency (remnant kidney model, glomerulosclerosis, diabetic retinopathy, CKD)
PPP4R4	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, Chronic kidney disease, CKD)
PP4R4	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, Chronic kidney disease, CKD)
PRAMEF10	4	Chronic_Renal_Insufficiency (Chronic kidney disease, CKD)
PREI3	4	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
MOB4	4	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
MOB3	4	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
PRIM2	4	Dialysis, Polycystic_Kidney_Disease, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, IgA nephropathy, CKD)
PRIM2A	4	Dialysis, Polycystic_Kidney_Disease, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, IgA nephropathy, CKD)
PRKAR2A	4	Dialysis, AKI (hemodialysis, AKI)
PKR2	4	Dialysis, AKI (hemodialysis, AKI)
PRKAR2	4	Dialysis, AKI (hemodialysis, AKI)
PRKCB	4	Glomerulonephritis, remnant_kidney_model, Diabetes (lupus nephritis, remnant kidney model, diabetic kidney disease)
PRKD1	4	Dialysis, Diabetes, AKI (hemodialysis, diabetic kidney disease, AKI)
PRKCM	4	Dialysis, Diabetes, AKI (hemodialysis, diabetic kidney disease, AKI)
PKD	4	Dialysis, Diabetes, AKI (hemodialysis, diabetic kidney disease, AKI)
PRODH	4	Dialysis, Diabetes, remnant_kidney_model (hemodialysis, diabetic nephropathy, remnant kidney model, diabetic kidney disease)
PIG6	4	Dialysis, Diabetes, remnant_kidney_model (hemodialysis, diabetic nephropathy, remnant kidney model, diabetic kidney disease)
POX2	4	Dialysis, Diabetes, remnant_kidney_model (hemodialysis, diabetic nephropathy, remnant kidney model, diabetic kidney disease)
PRPF8	4	AKI, Vasopressine_induced, Chronic_Renal_Insufficiency (AKI, Vasopressine in vitro model, CKD)
PRPS2	4	AKI, Diabetes, High_glucose_induced, Chronic_Renal_Insufficiency (AKI, diabetic nephropathy, High glucose in vitro model, CKD)
PRR11	4	Glomerulonephritis, Diabetes, Chronic_Renal_Insufficiency (lupus nephritis, diabetic nephropathy, CKD)
LPRP	4	Diabetes, Nephrotic_Syndrome (type 1 diabetes with retinopathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, paediatric idiopathic nephrotic syndrome)
PROL4	4	Diabetes, Nephrotic_Syndrome (type 1 diabetes with retinopathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes with retinopathy, paediatric idiopathic nephrotic syndrome)
PRR5	4	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
PROTOR1	4	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
PP610	4	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
PRRG1	4	Chronic_Renal_Insufficiency, Dialysis, AKI, Diabetes (Chronic kidney disease, hemodialysis, AKI, diabetic nephropathy)
PRGP1	4	Chronic_Renal_Insufficiency, Dialysis, AKI, Diabetes (Chronic kidney disease, hemodialysis, AKI, diabetic nephropathy)
TMG1	4	Chronic_Renal_Insufficiency, Dialysis, AKI, Diabetes (Chronic kidney disease, hemodialysis, AKI, diabetic nephropathy)
PSAT1	4	Dialysis, cisplatin_induced, Nephrosclerosis (hemodialysis, cisplatin-induced nephrotoxicity, glomerulosclerosis)
PSG3	4	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
PSIP1	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
DFS70	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
LEDGF	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
PSMA3	4	Dialysis, AKI, Glomerulonephritis, High_glucose_induced (hemodialysis, AKI, mesangial proliferative glomerulonephritis, High glucose in vitro model)
HC8	4	Dialysis, AKI, Glomerulonephritis, High_glucose_induced (hemodialysis, AKI, mesangial proliferative glomerulonephritis, High glucose in vitro model)
PSC8	4	Dialysis, AKI, Glomerulonephritis, High_glucose_induced (hemodialysis, AKI, mesangial proliferative glomerulonephritis, High glucose in vitro model)
PSMB10	4	Glomerulonephritis, Diabetes, Nephrosclerosis (lupus nephritis, diabetic kidney disease, glomerulosclerosis, diabetic nephropathy)
PSMC2	4	Dialysis, Diabetes, Fibrosis (hemodialysis, diabetic kidney disease, Interstitial fibrosis and tubular atrophy)
MSS1	4	Dialysis, Diabetes, Fibrosis (hemodialysis, diabetic kidney disease, Interstitial fibrosis and tubular atrophy)
PSMD1	4	Diabetes, AKI, Chronic_Renal_Insufficiency, Chronic_rejection (diabetic kidney disease, AKI, CKD, Chronic_rejection)
PSMD3	4	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic retinopathy, CKD)
PSPC1	4	Diabetes, AKI, Fibrosis (diabetic kidney disease, AKI, TGFbeta in vitro model, diabetic retinopathy)
PSP1	4	Diabetes, AKI, Fibrosis (diabetic kidney disease, AKI, TGFbeta in vitro model, diabetic retinopathy)
PSTPIP2	4	Diabetes, Chronic_Renal_Insufficiency (diabetic kidney disease, CKD)
PTBP3	4	Polycystic_Kidney_Disease, Diabetes, Nephrosclerosis, AKI (Autosomal Dominant Polycystic kidney disease, diabetic kidney disease, glomerulosclerosis, AKI)
ROD1	4	Polycystic_Kidney_Disease, Diabetes, Nephrosclerosis, AKI (Autosomal Dominant Polycystic kidney disease, diabetic kidney disease, glomerulosclerosis, AKI)
PTCH1	4	Dialysis, Chronic_Renal_Insufficiency, Diabetes, AKI (hemodialysis, Chronic kidney disease, diabetic kidney disease, AKI)
PATCHEDA'ISOFORM	4	Dialysis, Chronic_Renal_Insufficiency, Diabetes, AKI (hemodialysis, Chronic kidney disease, diabetic kidney disease, AKI)
PTCH	4	Dialysis, Chronic_Renal_Insufficiency, Diabetes, AKI (hemodialysis, Chronic kidney disease, diabetic kidney disease, AKI)
PTGDR2	4	Chronic_Renal_Insufficiency, Dialysis (Chronic kidney disease, hemodialysis, CKD)
GPR44	4	Chronic_Renal_Insufficiency, Dialysis (Chronic kidney disease, hemodialysis, CKD)
CRTH2	4	Chronic_Renal_Insufficiency, Dialysis (Chronic kidney disease, hemodialysis, CKD)
PTGER4	4	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, diabetic kidney disease, CKD)
PTN	4	Dialysis, remnant_kidney_model (hemodialysis, remnant kidney model)
HBNF1	4	Dialysis, remnant_kidney_model (hemodialysis, remnant kidney model)
NEGF1	4	Dialysis, remnant_kidney_model (hemodialysis, remnant kidney model)
PTPLAD2	4	AKI, Polycystic_Kidney_Disease, Chronic_Renal_Insufficiency (AKI, Autosomal Dominant Polycystic kidney disease, CKD)
HACD4	4	AKI, Polycystic_Kidney_Disease, Chronic_Renal_Insufficiency (AKI, Autosomal Dominant Polycystic kidney disease, CKD)
PTPLB	4	Diabetes, Chronic_Renal_Insufficiency (Diabetic Cardiomyopathy, CKD)
HACD2	4	Diabetes, Chronic_Renal_Insufficiency (Diabetic Cardiomyopathy, CKD)
PTPN22	4	Dialysis, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, lupus nephritis, CKD)
PTPN8	4	Dialysis, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, lupus nephritis, CKD)
PTPRG	4	Nephrosclerosis, AKI, Diabetes (glomerulosclerosis, AKI, diabetic nephropathy in T1D)
PTPG	4	Nephrosclerosis, AKI, Diabetes (glomerulosclerosis, AKI, diabetic nephropathy in T1D)
PTRH2	4	Diabetes, ureteral_obstruction, Chronic_Renal_Insufficiency (diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model, CKD)
BIT1	4	Diabetes, ureteral_obstruction, Chronic_Renal_Insufficiency (diabetic nephropathy, diabetic nephropathy treated with Phlorizin, kidney obstruction in vitro model, CKD)
PURG	4	Dialysis, Glomerulonephritis, AKI (hemodialysis, lupus nephritis, AKI)
PUS7	4	AKI, Chronic_Renal_Insufficiency (AKI, CKD)
PXDN	4	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
MG50	4	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
PRG2	7	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)|Dialysis, Chronic_Renal_Insufficiency (hemodialysis, Chronic kidney disease)|Dialysis (hemodialysis)
PYHIN1	4	Dialysis, AKI, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, AKI, lupus nephritis, CKD)
IFIX	4	Dialysis, AKI, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, AKI, lupus nephritis, CKD)
QARS	4	AKI, Fibrosis, kidney_calculi, Chronic_Renal_Insufficiency (AKI, Interstitial fibrosis and tubular atrophy, Calcium oxalate monohydrate in vitro model, CKD)
QSER1	4	AKI, Chronic_Renal_Insufficiency (AKI, CKD)
QTRTD1	4	Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (diabetic kidney disease, glomerulosclerosis, CKD)
RAB11A	4	Dialysis, Diabetes, Glomerulonephritis (hemodialysis, diabetic kidney disease, diabetic nephropathy, IgA nephropathy)
RAB11	4	Dialysis, Diabetes, Glomerulonephritis (hemodialysis, diabetic kidney disease, diabetic nephropathy, IgA nephropathy)
24KG	4	Dialysis, Diabetes, Glomerulonephritis (hemodialysis, diabetic kidney disease, diabetic nephropathy, IgA nephropathy)
RAB11FIP1	4	Dialysis, AKI, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, AKI, IgA nephropathy, CKD)
RCP	4	Dialysis, AKI, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, AKI, IgA nephropathy, CKD)
RAB11FIP4	4	Dialysis, Chronic_Renal_Insufficiency, AKI (hemodialysis, End-stage renal failure, AKI)
ARFO2	4	Dialysis, Chronic_Renal_Insufficiency, AKI (hemodialysis, End-stage renal failure, AKI)
RAB11-FIP4	4	Dialysis, Chronic_Renal_Insufficiency, AKI (hemodialysis, End-stage renal failure, AKI)
RAB17	4	Dialysis, Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, glomerulosclerosis, CKD)
RAB24	4	Diabetes, Chronic_Renal_Insufficiency (diabetic retinopathy, CKD)
RAB27A	4	Nephrosclerosis, Diabetes, Chronic_Renal_Insufficiency (glomerulosclerosis, diabetic nephropathy, CKD)
RAB27	4	Nephrosclerosis, Diabetes, Chronic_Renal_Insufficiency (glomerulosclerosis, diabetic nephropathy, CKD)
RAB2A	4	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
