Gene_Name	GWAS_hits	GWAS_max_P_VALUE	GWAS_min_P_VALUE	GWAS_max_OR	GWAS_min_OR	GWAS_tissue_trait_flag
SEMA6C	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ACVR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
UBE3C	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
THNSL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
SENP8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
THG1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
SEMG1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
SEMG2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
THEMIS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
THEM6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
SENP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
SENP5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
TSN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ASXL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
PCDH11Y	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECSIT	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBNA1BP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBPL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECD	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECE2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECEL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECH1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECHDC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECHDC3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECI1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECM2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECT2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNLRB1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ECT2L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARFGAP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EDARADD	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EDDM3A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EDDM3B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EDEM1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EDF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EDN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARF6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EEA1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EED	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBLN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBI3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBF4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBF3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNLT3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYRK1A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYRK1B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYRK3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYRK4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYTN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYX1C1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DZANK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DZIP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DZIP1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
E2F1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
E2F3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
E2F4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
E2F6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
E2F7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
E2F8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
E4F1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EAF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EAF2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EAPP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EARS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EBAG9	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARFGAP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EEF1A1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EEF1B2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EEF1D	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFTUD2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARF3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EGFL6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EGFL7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EGFLAM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EGR3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EHD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EHD2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AREL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EHHADH	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EHMT1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EI24	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EID1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EID2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EID2B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EID3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF1AD	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF1AX	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF1AY	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF1B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARF4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFR3A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EEF1E1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFNB3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EEF2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EEF2K	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB10	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB11	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB12	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB13	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB14	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB4A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB4B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCAB7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFCC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFEMP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFHB	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFHC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFNA2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFNA3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFNA4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFNB1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EFNB2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNLT1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNLL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXOSC3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRAM2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPPA5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPRX	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPY19L2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPY19L4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPY30	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPYS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPYSL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPYSL3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPYSL4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DQX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DR1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRAXIN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNC2LI1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRD3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRD4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRD5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRG2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRGX	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DROSHA	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DRP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSCAM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPPA4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPPA3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPPA2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARFGEF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOHH	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOK4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOK5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOK6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOLK	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOLPP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DONSON	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOPEY1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DOPEY2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPAGT1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPCD	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPEP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPF2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPH1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPH2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPH3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPH5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPH7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPM1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPP10	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DPP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSCC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSCR3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSCR4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP16	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP19	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP21	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP22	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP23	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP27	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP28	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUT	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DVL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DVL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DVL3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYDC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYDC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARFGAP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNC1H1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNC1I2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNC1LI1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DYNC1LI2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP18	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUSP15	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSEL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUS4L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSG3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSG4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSPP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DSTN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTD2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTNA	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTWD2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTX2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTX3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTX3L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTX4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DTYMK	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUOX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUOX2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUOXA1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUOXA2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUPD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUS1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUS2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
DUS3L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2AK2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2B1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2B2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPSTI1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPT1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPX	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPYC	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AQP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERAS	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERBB2IP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AQP12B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2B3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC6L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC6L2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC6-PGBD3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERCC8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AQP12A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERGIC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERH	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERI2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERI3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERICH1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERLIN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPS8L3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPS8L2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPS8L1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPS8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EP300	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPB41	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPB41L4A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPB42	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPCAM	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AQP5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPG5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPHA10	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPHA5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPHA8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPHB1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPHX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPHX4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPN3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPOR	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPPIN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPPIN-WFDC6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPPK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EPS15	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AQP4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERMAP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERMARD	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERMN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETV2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETV3L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETV4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
APRT	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVA1A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVA1B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVC	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVI2A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVI2B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
APPL2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVPL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EVPLL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
APPL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXD1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXO5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
APPBP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXOC3L1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
APP	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXOC5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXOC6B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXOC7	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EXOSC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETV3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETNPPL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERMP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETNK2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERO1L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERP29	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERP44	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERV3-1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERVFRD-1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ERVW-1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESCO1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESCO2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESM1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESPNL	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AQP11	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESRP1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESRP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESRRB	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESX1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESYT1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ESYT3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETFB	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETHE1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ETNK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
AQP6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EOGT	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ENY2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF5A2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELAC1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELAC2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELANE	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARC	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELF2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELF3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELF4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELF5	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELFN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELFN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELK1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELK4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARAP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELL3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELMO2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELMO3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELMOD2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELMOD3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARAF	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELN	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELOF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELOVL1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF5B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF5A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELOVL4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4H	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2B4	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2D	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2S1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2S2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF2S3L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3A	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3C	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3D	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3F	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3G	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ARCN1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3I	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3J	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3K	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF3L	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4A1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4A2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4E1B	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4EBP2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4EBP3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EIF4ENIF1	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELOVL3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ELOVL6	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
ENTPD8	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EMR3	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
EN2	0.0	4e-09	3e-14	1.0649627000000002	0.05	0
